trial,t,X1,X2,X3,X4,X5
9,3.6828661991805065,3,21,25,1,5
9,3.7079769291370788,2,22,25,1,5
9,3.7207048745048166,2,22,25,1,7
9,3.7382312228062524,2,22,25,2,8
9,3.7409341769716873,2,22,25,2,10
9,3.743370400875381,2,22,25,1,9
9,3.749738610730722,2,22,25,2,10
9,3.75522599602453,2,22,25,3,11
9,3.755658572455189,2,22,25,4,12
9,3.7572833796089498,2,22,25,4,14
9,3.7573419534627712,2,22,25,4,12
9,3.7575101757333385,2,22,25,4,14
9,3.7580815748159355,3,21,25,4,14
9,3.7659554747804775,4,20,25,4,14
9,3.7754324415239213,4,20,25,3,13
9,3.7768263542786666,3,21,25,3,13
9,3.7783233104773206,3,21,25,3,11
9,3.779394356335146,3,21,25,3,9
9,3.781251215279005,2,22,25,3,9
9,3.7862666502475815,3,21,25,3,9
9,3.7866784365341104,3,21,25,3,7
9,3.794275555068153,4,20,25,3,7
9,3.7994125789399056,4,20,25,3,9
9,3.8090653834115757,5,19,25,3,9
9,3.809901069689962,4,20,25,3,9
9,3.8114525340090295,5,19,25,3,9
9,3.8117102879918905,4,20,25,3,9
9,3.821396310175029,5,19,25,3,9
9,3.83399010386249,4,20,25,3,9
9,3.8349963676287686,5,19,25,3,9
9,3.8395139877473974,6,18,25,3,9
9,3.839665719174145,5,19,25,3,9
9,3.839934126017199,5,19,25,4,10
9,3.843982613398068,4,20,25,4,10
9,3.8449896154185965,5,19,25,4,10
9,3.845612768428965,6,18,25,4,10
9,3.848569809882321,6,18,25,4,12
9,3.8511429826430232,5,19,25,4,12
9,3.8532578056879965,4,20,25,4,12
9,3.85516617610954,5,19,25,4,12
9,3.8582017726867237,5,19,25,4,10
9,3.8596810238491117,4,20,25,4,10
9,3.8652147619109396,4,20,25,4,8
9,3.865483480535911,5,19,25,4,8
9,3.872595628388498,6,18,25,4,8
9,3.8755663400570284,5,19,25,4,8
9,3.8767888646890283,6,18,25,4,8
9,3.8769909840653645,6,18,25,4,10
9,3.8796536262716725,6,18,25,5,11
9,3.8815212407613267,5,19,25,5,11
9,3.8851151000457045,5,19,25,5,9
9,3.8921276569191976,6,18,25,5,9
9,3.898549071091782,7,17,25,5,9
9,3.8998972906489704,6,18,25,5,9
9,3.903352512591175,5,19,25,5,9
9,3.904219924746352,6,18,25,5,9
9,3.9045130202148317,6,18,25,4,8
9,3.9045145858106456,7,17,25,4,8
9,3.907640113352241,7,17,25,2,8
9,3.9110297915649683,7,17,25,3,9
9,3.9243585600042525,6,18,25,3,9
9,3.9264392403478308,7,17,25,3,9
9,3.927852947684398,6,18,25,3,9
9,3.934888257613782,6,18,25,3,7
9,3.9487570184083634,6,18,25,2,6
9,3.9753681999434227,6,18,25,4,6
9,3.9771369967418466,6,18,25,4,8
9,3.9814600600425676,6,18,25,4,6
9,3.9862908980023612,6,18,25,3,5
9,4.013977003437128,6,18,25,4,6
9,4.017135546242815,6,18,25,4,8
9,4.017533474563906,7,17,25,4,8
9,4.034942148149398,7,17,25,4,10
9,4.035179047987491,7,17,25,2,10
9,4.035481343972401,8,16,25,2,10
9,4.036355267404599,8,16,25,2,12
9,4.039788688113419,9,15,25,2,12
9,4.041677387883803,9,15,25,2,10
9,4.042395653159994,10,14,25,2,10
9,4.0486562565667406,10,14,25,2,8
9,4.049899457984154,9,15,25,2,8
9,4.049993674806714,9,15,25,3,9
9,4.050052993302295,8,16,25,3,9
9,4.051127020063923,8,16,25,4,10
9,4.052243659369254,9,15,25,4,10
9,4.054560239298757,8,16,25,4,10
9,4.059656932937071,7,17,25,4,10
9,4.0631696130102695,8,16,25,4,10
9,4.06439696578917,8,16,25,3,9
9,4.073702831690378,8,16,25,3,7
9,4.074380726649912,8,16,25,2,6
9,4.081938757304176,8,16,25,2,4
9,4.090807533103598,8,16,25,3,5
9,4.092909475476349,7,17,25,3,5
9,4.095403250748773,7,17,25,3,7
9,4.095575092497149,6,18,25,3,7
9,4.098546600698034,6,18,25,2,6
9,4.105546856980937,6,18,25,2,8
9,4.108504188097744,5,19,25,2,8
9,4.111108819558235,6,18,25,2,8
9,4.112087241518619,6,18,25,2,6
9,4.116229033873035,7,17,25,2,6
9,4.116361239998099,7,17,25,2,8
9,4.117216144148471,7,17,25,3,9
9,4.119249859450053,8,16,25,3,9
9,4.124497299124646,7,17,25,3,9
9,4.128355936704807,7,17,25,3,7
9,4.142340089505396,6,18,25,3,7
9,4.154646218624665,5,19,25,3,7
9,4.156302724521673,6,18,25,3,7
9,4.159039699045601,7,17,25,3,7
9,4.161426772802869,7,17,25,4,8
9,4.166805725094275,8,16,25,4,8
9,4.168539103837544,9,15,25,4,8
9,4.168806763034144,9,15,25,4,10
9,4.170192577496655,10,14,25,4,10
9,4.180921826899164,9,15,25,4,10
9,4.18335064415767,9,15,25,5,11
9,4.187042127663861,9,15,25,6,12
9,4.191557075424814,10,14,25,6,12
9,4.192216574505268,9,15,25,6,12
9,4.1951538224926415,9,15,25,5,11
9,4.2006326631846775,8,16,25,5,11
9,4.200746451994736,8,16,25,4,10
9,4.210363855117605,9,15,25,4,10
9,4.2145141352333715,9,15,25,4,8
9,4.223623883556404,9,15,25,4,6
9,4.2291500479103155,10,14,25,4,6
9,4.229912469851319,10,14,25,2,6
9,4.238645360349493,10,14,25,2,4
9,4.239198667613361,11,13,25,2,4
9,4.2436703177542,11,13,25,2,6
9,4.246380321111953,10,14,25,2,6
9,4.256570775526401,10,14,25,4,6
9,4.270071017750591,11,13,25,4,6
9,4.278958941203649,10,14,25,4,6
9,4.280942168122452,10,14,25,5,7
9,4.2888034785982345,10,14,25,5,5
9,4.288985148211187,10,14,25,7,5
9,4.289372247035572,10,14,25,5,5
9,4.292355813573102,11,13,25,5,5
9,4.294710314674045,10,14,25,5,5
9,4.315036552723683,11,13,25,5,5
9,4.323338007948027,11,13,25,6,6
9,4.325371676325313,11,13,25,7,7
9,4.3265403489814265,12,12,25,7,7
9,4.333293094356793,12,12,25,7,5
9,4.334195512707554,11,13,25,7,5
9,4.338345142322715,10,14,25,7,5
9,4.340299910651089,9,15,25,7,5
9,4.346839736388317,10,14,25,7,5
9,4.346880267942329,10,14,25,7,7
9,4.354530926619951,11,13,25,7,7
9,4.35728376919565,11,13,25,6,6
9,4.359596142524324,10,14,25,6,6
9,4.369613394410314,10,14,25,7,7
9,4.372170229922739,11,13,25,7,7
9,4.372577502177373,10,14,25,7,7
9,4.374603034798799,9,15,25,7,7
9,4.376695570419508,10,14,25,7,7
9,4.376833857315269,10,14,25,8,8
9,4.377140715066302,11,13,25,8,8
9,4.377152522489554,10,14,25,8,8
9,4.377216647887717,10,14,25,9,9
9,4.377544583974753,10,14,25,8,8
9,4.384082609598377,10,14,25,10,8
9,4.385673435129275,11,13,25,10,8
9,4.389181516345846,12,12,25,10,8
9,4.391336356749187,13,11,25,10,8
9,4.3956673918589155,12,12,25,10,8
9,4.407092422134853,12,12,25,12,8
9,4.410810352655538,13,11,25,12,8
9,4.413025912856613,14,10,25,12,8
9,4.414176554529697,14,10,25,10,8
9,4.415622831393431,13,11,25,10,8
9,4.416768638628713,13,11,25,9,7
9,4.4209277222349055,13,11,25,9,9
9,4.426560651759578,13,11,25,9,7
9,4.429936554467361,12,12,25,9,7
9,4.432496883454941,12,12,25,8,6
9,4.432539521529606,11,13,25,8,6
9,4.439275191572652,11,13,25,7,5
9,4.440949247430009,12,12,25,7,5
9,4.4418337194803605,12,12,25,7,7
9,4.445866302283746,12,12,25,8,8
9,4.446606239082378,13,11,25,8,8
9,4.449548030042585,12,12,25,8,8
